Country Name,Coastline
Monaco,4 km
Gibraltar,12 km
Bosnia and Herzegovina,20 km
Tuvalu,24 km
Cocos (Keeling) Islands,26 km
Jordan,26 km
Bouvet Island,30 km
Nauru,30 km
Norfolk Island,32 km
"Congo, Democratic Republic of the",37 km
West Bank,40 km
Montserrat,40 km
Macau,41 km
Slovenia,47 km
Guernsey,50 km
Pitcairn Islands,51 km
Togo,56 km
Iraq,58 km
Saint Martin,59 km
Saint Helena,60 km
Anguilla,61 km
Niue,64 km
Belgium,67 km
Aruba,69 km
Jersey,70 km
British Virgin Islands,80 km
"Gambia, The",80 km
Saint Vincent and the Grenadines,84 km
Lithuania,90 km
Barbados,97 km
Tokelau,101 km
Bermuda,103 km
American Samoa,116 km
Cook Islands,120 km
Saint Pierre and Miquelon,120 km
Benin,121 km
Grenada,121 km
Guam,126 km
Wallis and Futuna,129 km
Saint Kitts and Nevis,135 km
Christmas Island,139 km
Dominica,148 km
Antigua and Barbuda,153 km
Saint Lucia,158 km
Cayman Islands,160 km
Isle of Man,160 km
Bahrain,161 km
Brunei,161 km
"Congo, Republic of the",169 km
Mauritius,177 km
Mayotte,185 km
Virgin Islands,188 km
Singapore,193 km
Syria,193 km
Malta,197 km
Sao Tome and Principe,209 km
Lebanon,225 km
Romania,225 km
Israel,273 km
Montenegro,294 km
Equatorial Guinea,296 km
El Salvador,307 km
Georgia,310 km
Djibouti,314 km
Guinea,320 km
Comoros,340 km
Guinea-Bissau,350 km
Bulgaria,354 km
Albania,362 km
Trinidad and Tobago,362 km
Netherlands Antilles,364 km
Marshall Islands,370 km
Belize,386 km
Suriname,386 km
Turks and Caicos Islands,389 km
Guatemala,400 km
Cameroon,402 km
Sierra Leone,402 km
Samoa,403 km
Tonga,419 km
Poland,440 km
Cambodia,443 km
Netherlands,451 km
Guyana,459 km
Seychelles,491 km
Latvia,498 km
Kuwait,499 km
Puerto Rico,501 km
C̫te d'Ivoire,515 km
Senegal,531 km
Kenya,536 km
Ghana,539 km
Qatar,563 km
Liberia,579 km
Bangladesh,580 km
Maldives,644 km
Cyprus,648 km
Uruguay,660 km
British Indian Ocean Territory,698 km
Timor-Leste,706 km
Hong Kong,733 km
Mauritania,754 km
Honduras,820 km
Nigeria,853 km
Sudan,853 km
Gabon,885 km
Nicaragua,910 km
Cape Verde,965 km
Algeria,998 km
Jamaica,"1,022 km"
Pakistan,"1,046 km"
Western Sahara,"1,110 km"
Faroe Islands,"1,117 km"
Fiji,"1,129 km"
Kiribati,"1,143 km"
Tunisia,"1,148 km"
Finland,"1,250 km"
Dominican Republic,"1,288 km"
Falkland Islands (Islas Malvinas),"1,288 km"
Costa Rica,"1,290 km"
United Arab Emirates,"1,318 km"
Sri Lanka,"1,340 km"
Tanzania,"1,424 km"
Ireland,"1,448 km"
Northern Mariana Islands,"1,482 km"
Palau,"1,519 km"
Taiwan,"1,566 km"
Namibia,"1,572 km"
Angola,"1,600 km"
Libya,"1,770 km"
Haiti,"1,771 km"
Portugal,"1,793 km"
Morocco,"1,835 km"
Yemen,"1,906 km"
Burma,"1,930 km"
Oman,"2,092 km"
Eritrea,"2,234 km"
Ecuador,"2,237 km"
New Caledonia,"2,254 km"
Germany,"2,389 km"
"Korea, South","2,413 km"
Peru,"2,414 km"
Iran,"2,440 km"
Egypt,"2,450 km"
Mozambique,"2,470 km"
Panama,"2,490 km"
"Korea, North","2,495 km"
French Polynesia,"2,525 km"
Vanuatu,"2,528 km"
Saudi Arabia,"2,640 km"
Ukraine,"2,782 km"
South Africa,"2,798 km"
Venezuela,"2,800 km"
Somalia,"3,025 km"
Colombia,"3,208 km"
Sweden,"3,218 km"
Thailand,"3,219 km"
Vietnam,"3,444 km"
"Bahamas, The","3,542 km"
Svalbard,"3,587 km"
Cuba,"3,735 km"
Estonia,"3,794 km"
France,"4,668 km"
Malaysia,"4,675 km"
Madagascar,"4,828 km"
Spain,"4,964 km"
Iceland,"4,970 km"
Argentina,"4,989 km"
Papua New Guinea,"5,152 km"
Solomon Islands,"5,313 km"
Croatia,"5,835 km"
"Micronesia, Federated States of","6,112 km"
Chile,"6,435 km"
India,"7,000 km"
Turkey,"7,200 km"
Denmark,"7,314 km"
Brazil,"7,491 km"
Italy,"7,600 km"
Mexico,"9,330 km"
United Kingdom,"12,429 km"
Greece,"13,676 km"
China,"14,500 km"
New Zealand,"15,134 km"
Antarctica,"17,968 km"
United States,"19,924 km"
Norway,"25,148 km"
Australia,"25,760 km"
Japan,"29,751 km"
Philippines,"36,289 km"
Russia,"37,653 km"
Greenland,"44,087 km"
Indonesia,"54,716 km"
Canada,"202,080 km"